count,hate_speech,offensive_language,neither,class,tweet
3,0,2,1,1,RT @quirkisms: Jeter to A-Rod. From class to trash.
3,0,3,0,1,@_noWashington what that hoe was like
3,0,3,0,1,@Rock76_ like who let em bring Da heat in dis bitch &#128563;&#128552; .. #linkup bro
3,0,3,0,1,RT @mitrykizer: Sack number 3 for Trent Cole fuckin that bitch up
3,0,0,3,2,RT @BigJonBul: The stars wink knowingly and smile at each other when they see two lovers kissing on a secluded bridge on a balmy autumn nig&#8230;
3,0,3,0,1,my side bitch is my main bitch cuz my main bitch aint feelin me nomo...nomo
3,2,1,0,0,RT @_asslxrd_: my inner nigger is coming out
6,1,5,0,1,BRUH!! RT @coldhearted9_: Them ugly hoes say a nigga arrogant...
3,0,3,0,1,"RT @iadorewomen_: ALL Relationships come w/ hatin ass hoes&#128589;, drama&#128074;, jealousy&#128530;, arguments&#128545;.. ALL THAT. Only REAL couples laugh at the shit &#8230;"
3,0,0,3,2,RT @SenorSteez This whole week was trash
3,0,1,2,2,"Conoc&#237; tus ojos negros 
Y ahora si que no puedo vivir sin ellos"
3,0,3,0,1,I used to think that bitch was bad ... But not no moe !
3,0,3,0,1,"You're unattractive &#8220;@Therealalonig: $10,000 dinner dates with yo man bitch. #pow @karrueche http://t.co/KRFe8NXWNz&#8221;"
3,0,3,0,1,RT @Chuck_Strangers: When I say faggot it just means someone who is fucking weak...
6,0,6,0,1,RT @4200Savage: Mama told me look rich act poor n neva trip ona bitch dat ain't urs#gang
3,0,3,0,1,"I lost partners , bitches , money... But I never lost my mind"
3,0,0,3,2,"&#8220;@PrayForJack I survived swine flu, bird flu, west nile and the Bloomberg administration. I'll be fine&#8221;the abortion survival. Cant 4get that"
3,0,0,3,2,"RT @EchelonInsights: Rick Scott beating win number in 30 counties, Charlie Crist in 13. #FLGOV"
3,0,3,0,1,@fitsnews Nevermind. Still a little bitch. http://t.co/zpYPjBU5YU
3,0,3,0,1,RT @LilReese300: Bitches gone do wat bitches do...#300
3,0,3,0,1,"""What I do? @betysweetcocker: Gotta report you as spam RT @80sbaby4life: Ladies RT if your head game better than your pussy"""
3,0,3,0,1,RT @MyFriendsRap: After ya girl walks in ya crib and has hoes for ya niggas. http://t.co/lE1r8tiwD1
3,0,0,3,2,@lcl03 you've been talking trash since we were 3 and 5.
3,1,2,0,1,"@_lostb0y do you, bitch boy?"
3,0,3,0,1,@ZaneIsClasker @garrett_winker no I like pussy why would I be ashamed of that
3,0,3,0,1,RT @kid_nipsey_400: bitch what you thought ? &#128514;
3,1,2,0,1,bad bitch bouncing on my pogo screamin yolo - that nigga juelz
3,0,3,0,1,RT @Whiteboyyx01: Behind that twinkle in your eyes I can see the bitch in you &#128064;&#128076;
3,0,3,0,1,It ain't nothin to cut that bitch off
3,0,3,0,1,Dress like you're gonna see that bitch you hate everyday &#128139;?
3,0,2,1,1,"@GingerDemoness 
My shit's like an eggplant baby. Black and big enough so dat all da women gets dem a piece"
3,0,3,0,1,@xsimoneeeeeeeee unpredictable is an excuse for retarded
3,0,0,3,2,RT @rickygervais: Humans are genetically closer to chimps than chimps are to gorillas. But we are all apes. Have a great day you clever twe&#8230;
3,0,3,0,1,"""Dropped a stack cause bitch I'm ON"".
-@1PoloBoy 
Song called ""Dope"".
Download the mixtape here: http://t.co/LaCZ1e6TG7"
3,0,3,0,1,I was at my bf grandma house today goin through old albums and his grandpa had naked pics of his side hos from the 50's &#128514;&#128553;
3,0,3,0,1,RT @BriannaChevonne: Birds of a feather flock 2gether. Hoes friends with hoes. Bitter women be with other bitter ones. Haters be with hater&#8230;
3,2,1,0,0,Watch out nigger lovers. You day is coming. http://t.co/ZV1CpK1iy8
3,0,3,0,1,RT @DeolaCola: They don't make R&amp;B like THIS anymore!!!!!!! Dudes used to make you feel good about busting it wide open not call you a hoe &#8230;
3,1,2,0,1,RT @I_HATE_VA: Niggas be on here with these Captain Obvious ass tweets about how to treat women and these lonely low self esteem hoes be ea&#8230;
3,0,3,0,1,RT @castabignet: Some people are handed a bar of gold and all they can do is bitch about how heavy it is.
3,0,3,0,1,RT @Dathighyellaguy: Dem hoes who swear their pussy priceless but u sell ass all day &#128533;
3,0,2,1,1,Funnie watching my nig interview on ESPN
3,0,3,0,1,"""@thebravebird: #YoureNotMyType if my fade is perpetually fresher than yours."" That's a real ass bitch rite there"
3,2,1,0,0,I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;
3,0,2,1,1,@z0mbiedance It's not till later hoe! Unless your having a sleepover...#Awk
3,0,3,0,1,#2013TaughtMe how pussy feels &#128514;&#128076;
3,0,3,0,1,Now don't you hate them ol... Lyin ass hoes... Smilin in ya face wearin her best friends clothes
3,1,2,0,1,He better choose up cuz ain't No Bitch checcin a nigga that she don't Fw for being wit other bitches...that don't even sound right &#9995;&#128514;&#128564;
3,0,3,0,1,RT @ddictedToHoes: when a bitch twerking on you in the club and you peep the change in her pocket http://t.co/xQYJbKZAnv
3,0,2,1,1,@vj44 umm how about they are at home raising kids? You are retarded.
